subject,stimulus,response,reactionTime
MCI_v4,rising_flat_1,rising_flat,15.960696399997687
MCI_v4,rising_falling_5,rising_falling,10.160878399998182
MCI_v4,flat_1,flat,5.467803500010632
MCI_v4,flat_falling_5,flat_falling,6.935041500022635
MCI_v4,falling_rising_1,falling_rising,17.410117599996738
MCI_v4,falling_flat_5,falling_flat,5.259434100007638
MCI_v4,falling_5,falling,5.108147899998585
MCI_v4,rising_3,rising,8.286615999997593
MCI_v4,flat_rising_5,flat_rising,4.474556400004076
MCI_v4,flat_falling_5,flat_falling,6.007106200006092
MCI_v4,flat_rising_3,flat,5.548394199984614
MCI_v4,falling_3,flat_falling,6.776330399996368
MCI_v4,flat_falling_1,falling_flat,14.181162799999584
MCI_v4,flat_rising_3,flat_rising,5.428305100009311
MCI_v4,rising_5,rising,5.22070450001047
MCI_v4,falling_5,falling,2.6734987999952864
MCI_v4,rising_flat_3,falling_flat,21.158072299993364
MCI_v4,flat_rising_5,flat_rising,5.199227700009942
MCI_v4,falling_1,flat,5.687214200006565
MCI_v4,falling_flat_1,flat_falling,3.612607699993532
MCI_v4,rising_flat_5,flat_rising,4.266861400014022
MCI_v4,flat_5,flat,2.262454700015951
MCI_v4,rising_5,rising,3.3690715999982785
MCI_v4,falling_flat_5,flat_falling,3.5701253000006545
MCI_v4,rising_flat_3,falling_flat,6.186949599999934
MCI_v4,flat_rising_5,flat_rising,3.6537755000172183
MCI_v4,falling_rising_1,falling_rising,4.726183599996148
MCI_v4,flat_1,flat,2.1710256000224035
MCI_v4,rising_1,rising_flat,4.34297160001006
MCI_v4,falling_flat_5,flat_falling,14.218319799983874
MCI_v4,rising_flat_1,rising_flat,4.906744199979585
MCI_v4,rising_falling_1,rising_falling,4.614583399990806
MCI_v4,flat_falling_1,falling_flat,4.703730100009125
MCI_v4,rising_falling_1,flat_rising,5.49707959999796
MCI_v4,flat_1,flat,2.8392521000059787
MCI_v4,rising_falling_3,rising_falling,2.503638599999249
MCI_v4,flat_rising_3,flat_rising,4.267546499992022
MCI_v4,falling_rising_5,falling_rising,2.7283916999876965
MCI_v4,rising_flat_3,falling_flat,5.212409700005082
MCI_v4,rising_falling_3,rising_falling,4.198082600021735
MCI_v4,rising_flat_1,rising_flat,4.33572259999346
MCI_v4,flat_rising_1,flat_rising,3.152741900004912
MCI_v4,falling_flat_3,flat_falling,3.9883673999866005
MCI_v4,flat_falling_3,flat_falling,9.22911089999252
MCI_v4,flat_rising_5,flat_rising,6.876441200001864
MCI_v4,rising_flat_5,rising,3.2025884999893606
MCI_v4,falling_flat_1,falling_flat,4.454601700010244
MCI_v4,rising_1,rising_flat,4.225911100016674
MCI_v4,rising_falling_5,rising_falling,2.777552999992622
MCI_v4,falling_rising_3,falling_rising,4.045816099998774
MCI_v4,falling_3,flat_falling,7.942377500003204
MCI_v4,falling_rising_5,rising_flat,7.628905599995051
